Covariate types,Covariate,Model component,Modeling Region,Coefficient estimate,Standard deviation,2.5%,97.5%
Demography,SE-PC4: Coup. fam. no children <15,NMod,Darling Riverine Plains,0.313,0.071,0.174,0.451
Demography,SE-PC4: Coup. fam. no children <15,NMod,Far West,-0.019,0.071,-0.158,0.12
Demography,SE-PC4: Coup. fam. no children <15,NMod,Riverina,-0.04,0.063,-0.163,0.083
Demography,SE-PC4: Coup. fam. no children <15,NMod,Riverina,-0.463,0.16,-0.779,-0.149
Demography,SE-PC4: Coup. fam. no children <15,PMod,Central & Southern Tablelands,0.165,0.168,-0.166,0.494
Demography,SE-PC4: Coup. fam. no children <15,PMod,Central & Southern Tablelands,0.109,0.063,-0.015,0.234
Demography,SE-PC4: Coup. fam. no children <15,PMod,Central Coast,0.206,0.081,0.047,0.367
Demography,SE-PC4: Coup. fam. no children <15,PMod,Central Coast,-0.109,0.04,-0.187,-0.032
Demography,SE-PC4: Coup. fam. no children <15,PMod,Darling Riverine Plains,0.502,0.275,-0.033,1.049
Demography,SE-PC4: Coup. fam. no children <15,PMod,Far West,0.071,0.124,-0.172,0.314
Demography,SE-PC4: Coup. fam. no children <15,PMod,Riverina,0.186,0.116,-0.04,0.417
Demography,SE-PC4: Coup. fam. no children <15,PMod,Riverina,0.112,0.137,-0.157,0.38
Demography,SE-PC5: Coup. fam. children <15,NMod,Central Coast,0.129,0.019,0.092,0.166
Demography,SE-PC5: Coup. fam. children <15,NMod,Far West,-0.025,0.05,-0.124,0.073
Demography,SE-PC5: Coup. fam. children <15,NMod,Far West,-0.105,0.097,-0.295,0.087
Demography,SE-PC5: Coup. fam. children <15,NMod,North Coast,0.011,0.041,-0.07,0.092
Demography,SE-PC5: Coup. fam. children <15,NMod,Northwest Slopes,0.068,0.036,-0.002,0.139
Demography,SE-PC5: Coup. fam. children <15,NMod,Northwest Slopes,0.258,0.058,0.146,0.373
Demography,SE-PC5: Coup. fam. children <15,NMod,Riverina,0.084,0.054,-0.022,0.191
Demography,SE-PC5: Coup. fam. children <15,NMod,Riverina,0.166,0.149,-0.126,0.461
Demography,SE-PC5: Coup. fam. children <15,PMod,Central Coast,0.101,0.03,0.042,0.161
Demography,SE-PC5: Coup. fam. children <15,PMod,Far West,0.105,0.087,-0.064,0.276
Demography,SE-PC5: Coup. fam. children <15,PMod,Far West,0.329,0.102,0.13,0.529
Demography,SE-PC5: Coup. fam. children <15,PMod,North Coast,0.14,0.076,-0.01,0.29
Demography,SE-PC5: Coup. fam. children <15,PMod,Northwest Slopes,-0.048,0.071,-0.188,0.09
Demography,SE-PC5: Coup. fam. children <15,PMod,Northwest Slopes,0.001,0.091,-0.178,0.181
Demography,SE-PC5: Coup. fam. children <15,PMod,Riverina,0.269,0.098,0.076,0.462
Demography,SE-PC5: Coup. fam. children <15,PMod,Riverina,-0.145,0.109,-0.36,0.069
Economic,Agricultural profit,NMod,Central & Southern Tablelands,-0.95,0.335,-1.607,-0.292
Economic,Agricultural profit,NMod,Central Coast,2.334,31.599,-59.628,64.296
Economic,Agricultural profit,NMod,Central Coast,0.06,31.622,-61.948,62.068
Economic,Agricultural profit,NMod,Far West,2.234,0.485,1.289,3.195
Economic,Agricultural profit,NMod,North Coast,0.162,0.021,0.122,0.203
Economic,Agricultural profit,PMod,Central & Southern Tablelands,-0.417,0.698,-1.788,0.951
Economic,Agricultural profit,PMod,Central Coast,1.162,31.608,-60.818,63.142
Economic,Agricultural profit,PMod,Central Coast,-0.524,31.62,-62.529,61.48
Economic,Agricultural profit,PMod,Far West,-0.779,0.642,-2.045,0.476
Economic,Agricultural profit,PMod,North Coast,0.058,0.085,-0.108,0.225
Economic,Land value,NMod,Central & Southern Tablelands,9.843,13.833,-17.281,36.968
Economic,Land value,NMod,Central & Southern Tablelands,-0,0.002,-0.005,0.004
Economic,Land value,NMod,Central Coast,15.426,12.78,-9.641,40.481
Economic,Land value,NMod,Central Coast,0.001,0.007,-0.012,0.015
Economic,Land value,NMod,Darling Riverine Plains,-0.108,0.047,-0.2,-0.016
Economic,Land value,NMod,Far West,1.369,0.243,0.902,1.857
Economic,Land value,NMod,North Coast,15.38,13.765,-11.6,42.389
Economic,Land value,NMod,Northern Tablelands,0.352,0.296,-0.228,0.931
Economic,Land value,NMod,Northern Tablelands,1.164,0.195,0.782,1.546
Economic,Land value,NMod,Northwest Slopes,0.318,0.065,0.19,0.447
Economic,Land value,NMod,Riverina,17.29,5.47,6.561,28.015
Economic,Land value,NMod,Riverina,-21.088,24.8,-69.587,27.688
Economic,Land value,NMod,South Coast,-0.03,0.172,-0.366,0.307
Economic,Land value,NMod,South Coast,-1.017,30.97,-61.747,59.713
Economic,Land value,NMod,South Coast,8.443,0.478,7.506,9.38
Economic,Land value,PMod,Central & Southern Tablelands,-57.956,22.72,-102.509,-13.404
Economic,Land value,PMod,Central & Southern Tablelands,0.047,0.02,0.008,0.085
Economic,Land value,PMod,Central Coast,-84.315,24.432,-132.224,-36.405
Economic,Land value,PMod,Central Coast,0.013,0.007,-0.001,0.028
Economic,Land value,PMod,Darling Riverine Plains,0.016,0.039,-0.06,0.093
Economic,Land value,PMod,Far West,-0.029,0.139,-0.301,0.242
Economic,Land value,PMod,North Coast,-213.725,21.161,-255.22,-172.229
Economic,Land value,PMod,Northern Tablelands,-8.308,2.249,-12.719,-3.898
Economic,Land value,PMod,Northern Tablelands,-0.003,0.036,-0.074,0.068
Economic,Land value,PMod,Northwest Slopes,-0.007,0.034,-0.075,0.06
Economic,Land value,PMod,Riverina,-34.83,12.138,-58.641,-11.039
Economic,Land value,PMod,Riverina,-42.327,21.405,-84.298,-0.353
Economic,Land value,PMod,South Coast,0.878,0.201,0.484,1.274
Economic,Land value,PMod,South Coast,-83.813,28.018,-138.751,-28.87
Economic,Land value,PMod,South Coast,-0.725,0.638,-1.975,0.525
Environment,Ecological condition,NMod,Central & Southern Tablelands,-0.32,0.031,-0.382,-0.259
Environment,Ecological condition,NMod,Central & Southern Tablelands,0.05,0.047,-0.042,0.142
Environment,Ecological condition,NMod,Central & Southern Tablelands,-0.234,0.021,-0.275,-0.193
Environment,Ecological condition,NMod,Central Coast,-0.205,0.034,-0.272,-0.138
Environment,Ecological condition,NMod,Central Coast,-0.194,0.169,-0.525,0.138
Environment,Ecological condition,NMod,Central Coast,-0.065,0.01,-0.084,-0.046
Environment,Ecological condition,NMod,Darling Riverine Plains,-0.31,0.049,-0.407,-0.214
Environment,Ecological condition,NMod,Darling Riverine Plains,-0.551,0.2,-0.941,-0.158
Environment,Ecological condition,NMod,Far West,-0.337,0.033,-0.401,-0.273
Environment,Ecological condition,NMod,Far West,-0.056,0.118,-0.287,0.176
Environment,Ecological condition,NMod,Far West,-0.282,0.067,-0.413,-0.151
Environment,Ecological condition,NMod,North Coast,-0.31,0.025,-0.359,-0.261
Environment,Ecological condition,NMod,North Coast,-0.064,0.042,-0.147,0.018
Environment,Ecological condition,NMod,North Coast,-0.288,0.023,-0.333,-0.243
Environment,Ecological condition,NMod,Northern Tablelands,-0.129,0.038,-0.204,-0.054
Environment,Ecological condition,NMod,Northern Tablelands,-0.8,0.074,-0.945,-0.655
Environment,Ecological condition,NMod,Northern Tablelands,-0.12,0.048,-0.213,-0.027
Environment,Ecological condition,NMod,Northwest Slopes,-0.21,0.024,-0.258,-0.162
Environment,Ecological condition,NMod,Northwest Slopes,-0.59,0.101,-0.787,-0.391
Environment,Ecological condition,NMod,Northwest Slopes,-0.23,0.03,-0.288,-0.173
Environment,Ecological condition,NMod,Riverina,-0.479,0.071,-0.618,-0.341
Environment,Ecological condition,NMod,Riverina,-0.368,0.137,-0.636,-0.099
Environment,Ecological condition,NMod,Riverina,-0.135,0.059,-0.251,-0.019
Environment,Ecological condition,NMod,South Coast,-0.251,0.052,-0.353,-0.149
Environment,Ecological condition,NMod,South Coast,-0.371,0.1,-0.567,-0.174
Environment,Ecological condition,NMod,South Coast,-0.043,0.016,-0.074,-0.013
Environment,Ecological condition,PMod,Central & Southern Tablelands,0.609,0.032,0.547,0.671
Environment,Ecological condition,PMod,Central & Southern Tablelands,1.417,0.046,1.326,1.507
Environment,Ecological condition,PMod,Central & Southern Tablelands,0.648,0.02,0.608,0.687
Environment,Ecological condition,PMod,Central Coast,0.293,0.037,0.22,0.365
Environment,Ecological condition,PMod,Central Coast,1.51,0.198,1.121,1.898
Environment,Ecological condition,PMod,Central Coast,0.388,0.011,0.366,0.411
Environment,Ecological condition,PMod,Darling Riverine Plains,0.08,0.051,-0.021,0.18
Environment,Ecological condition,PMod,Darling Riverine Plains,0.445,0.162,0.127,0.762
Environment,Ecological condition,PMod,Far West,0.237,0.033,0.172,0.302
Environment,Ecological condition,PMod,Far West,0.864,0.093,0.682,1.046
Environment,Ecological condition,PMod,Far West,0.643,0.061,0.523,0.764
Environment,Ecological condition,PMod,North Coast,0.338,0.027,0.285,0.39
Environment,Ecological condition,PMod,North Coast,1.158,0.044,1.071,1.245
Environment,Ecological condition,PMod,North Coast,0.653,0.023,0.609,0.697
Environment,Ecological condition,PMod,Northern Tablelands,0.835,0.043,0.751,0.918
Environment,Ecological condition,PMod,Northern Tablelands,0.866,0.069,0.731,1.001
Environment,Ecological condition,PMod,Northern Tablelands,1.201,0.05,1.103,1.298
Environment,Ecological condition,PMod,Northwest Slopes,0.393,0.026,0.343,0.443
Environment,Ecological condition,PMod,Northwest Slopes,0.842,0.095,0.656,1.028
Environment,Ecological condition,PMod,Northwest Slopes,0.897,0.032,0.834,0.96
Environment,Ecological condition,PMod,Riverina,0.235,0.066,0.105,0.366
Environment,Ecological condition,PMod,Riverina,0.777,0.125,0.533,1.021
Environment,Ecological condition,PMod,Riverina,0.294,0.051,0.194,0.394
Environment,Ecological condition,PMod,South Coast,0.263,0.062,0.142,0.385
Environment,Ecological condition,PMod,South Coast,0.456,0.116,0.229,0.683
Environment,Ecological condition,PMod,South Coast,0.546,0.025,0.497,0.594
Policy,Land use  (Intensive Uses),NMod,Central & Southern Tablelands,0.142,0.123,-0.099,0.383
Policy,Land use  (Intensive Uses),NMod,Central & Southern Tablelands,1.024,0.299,0.438,1.611
Policy,Land use  (Intensive Uses),NMod,Central & Southern Tablelands,0.315,0.064,0.191,0.44
Policy,Land use  (Intensive Uses),NMod,Central Coast,0.397,0.11,0.181,0.614
Policy,Land use  (Intensive Uses),NMod,Central Coast,0.642,0.032,0.578,0.705
Policy,Land use  (Intensive Uses),NMod,Darling Riverine Plains,-0.176,0.53,-1.215,0.863
Policy,Land use  (Intensive Uses),NMod,Far West,-0.352,0.292,-0.924,0.221
Policy,Land use  (Intensive Uses),NMod,Far West,-4.093,0.881,-5.823,-2.368
Policy,Land use  (Intensive Uses),NMod,North Coast,0.348,0.063,0.225,0.471
Policy,Land use  (Intensive Uses),NMod,North Coast,0.42,0.178,0.072,0.768
Policy,Land use  (Intensive Uses),NMod,North Coast,0.66,0.045,0.571,0.749
Policy,Land use  (Intensive Uses),NMod,Northern Tablelands,1.105,0.298,0.52,1.69
Policy,Land use  (Intensive Uses),NMod,Northern Tablelands,1.352,0.168,1.023,1.681
Policy,Land use  (Intensive Uses),NMod,Northwest Slopes,0.395,0.161,0.08,0.71
Policy,Land use  (Intensive Uses),NMod,Northwest Slopes,0.973,0.084,0.809,1.137
Policy,Land use  (Intensive Uses),NMod,Riverina,-0.277,0.682,-1.615,1.06
Policy,Land use  (Intensive Uses),NMod,South Coast,0.182,0.121,-0.056,0.419
Policy,Land use  (Intensive Uses),NMod,South Coast,0.342,0.035,0.273,0.412
Policy,Land use  (Intensive Uses),PMod,Central & Southern Tablelands,-0.11,0.14,-0.385,0.165
Policy,Land use  (Intensive Uses),PMod,Central & Southern Tablelands,1.014,0.273,0.479,1.549
Policy,Land use  (Intensive Uses),PMod,Central & Southern Tablelands,0.044,0.068,-0.09,0.178
Policy,Land use  (Intensive Uses),PMod,Central Coast,-0.638,0.137,-0.906,-0.37
Policy,Land use  (Intensive Uses),PMod,Central Coast,-0.067,0.036,-0.138,0.004
Policy,Land use  (Intensive Uses),PMod,Darling Riverine Plains,-1.475,0.463,-2.384,-0.567
Policy,Land use  (Intensive Uses),PMod,Far West,-0.593,0.281,-1.144,-0.042
Policy,Land use  (Intensive Uses),PMod,Far West,0.042,0.771,-1.469,1.554
Policy,Land use  (Intensive Uses),PMod,North Coast,-0.794,0.071,-0.933,-0.656
Policy,Land use  (Intensive Uses),PMod,North Coast,-0.935,0.167,-1.263,-0.607
Policy,Land use  (Intensive Uses),PMod,North Coast,-0.291,0.047,-0.384,-0.199
Policy,Land use  (Intensive Uses),PMod,Northern Tablelands,-1.468,0.373,-2.199,-0.736
Policy,Land use  (Intensive Uses),PMod,Northern Tablelands,-0.176,0.16,-0.49,0.137
Policy,Land use  (Intensive Uses),PMod,Northwest Slopes,-0.834,0.15,-1.127,-0.54
Policy,Land use  (Intensive Uses),PMod,Northwest Slopes,-0.069,0.096,-0.257,0.119
Policy,Land use  (Intensive Uses),PMod,Riverina,-1.656,0.631,-2.894,-0.419
Policy,Land use  (Intensive Uses),PMod,South Coast,-0.595,0.148,-0.884,-0.306
Policy,Land use  (Intensive Uses),PMod,South Coast,-0.35,0.063,-0.473,-0.227
Policy,Land use (Production-Dryland),NMod,Central & Southern Tablelands,-0.273,0.104,-0.478,-0.068
Policy,Land use (Production-Dryland),NMod,Central & Southern Tablelands,0.975,0.193,0.595,1.354
Policy,Land use (Production-Dryland),NMod,Central & Southern Tablelands,-0.16,0.066,-0.289,-0.032
Policy,Land use (Production-Dryland),NMod,Central Coast,-0.084,0.103,-0.286,0.119
Policy,Land use (Production-Dryland),NMod,Central Coast,0.812,0.041,0.732,0.891
Policy,Land use (Production-Dryland),NMod,Darling Riverine Plains,0.257,0.203,-0.14,0.655
Policy,Land use (Production-Dryland),NMod,Far West,-0.334,0.164,-0.656,-0.012
Policy,Land use (Production-Dryland),NMod,Far West,-5.147,0.904,-6.923,-3.377
Policy,Land use (Production-Dryland),NMod,North Coast,0.044,0.045,-0.044,0.132
Policy,Land use (Production-Dryland),NMod,North Coast,1.092,0.067,0.96,1.223
Policy,Land use (Production-Dryland),NMod,North Coast,-0.033,0.056,-0.142,0.076
Policy,Land use (Production-Dryland),NMod,Northern Tablelands,0.029,0.075,-0.118,0.176
Policy,Land use (Production-Dryland),NMod,Northern Tablelands,-0.018,0.094,-0.204,0.167
Policy,Land use (Production-Dryland),NMod,Northwest Slopes,0.073,0.07,-0.065,0.211
Policy,Land use (Production-Dryland),NMod,Northwest Slopes,-0.07,0.072,-0.21,0.071
Policy,Land use (Production-Dryland),NMod,Riverina,-0.764,0.575,-1.892,0.364
Policy,Land use (Production-Dryland),NMod,South Coast,-0.043,0.124,-0.287,0.201
Policy,Land use (Production-Dryland),NMod,South Coast,0.032,0.076,-0.117,0.181
Policy,Land use (Production-Dryland),PMod,Central & Southern Tablelands,0.236,0.121,-0.002,0.474
Policy,Land use (Production-Dryland),PMod,Central & Southern Tablelands,2.598,0.2,2.206,2.99
Policy,Land use (Production-Dryland),PMod,Central & Southern Tablelands,-0.296,0.071,-0.434,-0.158
Policy,Land use (Production-Dryland),PMod,Central Coast,-0.206,0.122,-0.445,0.034
Policy,Land use (Production-Dryland),PMod,Central Coast,0.186,0.048,0.092,0.28
Policy,Land use (Production-Dryland),PMod,Darling Riverine Plains,0.918,0.21,0.506,1.329
Policy,Land use (Production-Dryland),PMod,Far West,1.858,0.182,1.501,2.215
Policy,Land use (Production-Dryland),PMod,Far West,0.496,0.769,-1.012,2.005
Policy,Land use (Production-Dryland),PMod,North Coast,-0.121,0.054,-0.226,-0.015
Policy,Land use (Production-Dryland),PMod,North Coast,0.342,0.078,0.188,0.496
Policy,Land use (Production-Dryland),PMod,North Coast,-0.744,0.056,-0.853,-0.634
Policy,Land use (Production-Dryland),PMod,Northern Tablelands,0.36,0.096,0.173,0.548
Policy,Land use (Production-Dryland),PMod,Northern Tablelands,-0.325,0.109,-0.538,-0.112
Policy,Land use (Production-Dryland),PMod,Northwest Slopes,0.28,0.08,0.123,0.438
Policy,Land use (Production-Dryland),PMod,Northwest Slopes,-0.566,0.084,-0.731,-0.4
Policy,Land use (Production-Dryland),PMod,Riverina,0.473,0.546,-0.597,1.542
Policy,Land use (Production-Dryland),PMod,South Coast,-0.217,0.16,-0.529,0.096
Policy,Land use (Production-Dryland),PMod,South Coast,-0.636,0.095,-0.823,-0.449
Policy,Land use (Production-Irrigated),NMod,Central & Southern Tablelands,0.095,0.214,-0.324,0.515
Policy,Land use (Production-Irrigated),NMod,Central & Southern Tablelands,2.096,0.469,1.171,3.012
Policy,Land use (Production-Irrigated),NMod,Central & Southern Tablelands,-0.225,0.376,-0.963,0.513
Policy,Land use (Production-Irrigated),NMod,Central Coast,-0.118,0.329,-0.763,0.528
Policy,Land use (Production-Irrigated),NMod,Central Coast,0.279,0.178,-0.071,0.629
Policy,Land use (Production-Irrigated),NMod,Darling Riverine Plains,0.296,0.222,-0.139,0.732
Policy,Land use (Production-Irrigated),NMod,Far West,-0.004,0.176,-0.348,0.34
Policy,Land use (Production-Irrigated),NMod,Far West,-4.869,0.915,-6.666,-3.078
Policy,Land use (Production-Irrigated),NMod,North Coast,0.036,0.281,-0.515,0.587
Policy,Land use (Production-Irrigated),NMod,North Coast,0.701,0.563,-0.404,1.806
Policy,Land use (Production-Irrigated),NMod,North Coast,0.09,0.373,-0.641,0.821
Policy,Land use (Production-Irrigated),NMod,Northern Tablelands,0.294,0.425,-0.539,1.126
Policy,Land use (Production-Irrigated),NMod,Northern Tablelands,0.319,0.95,-1.544,2.181
Policy,Land use (Production-Irrigated),NMod,Northwest Slopes,-0.087,0.106,-0.294,0.12
Policy,Land use (Production-Irrigated),NMod,Northwest Slopes,0.079,0.233,-0.377,0.536
Policy,Land use (Production-Irrigated),NMod,Riverina,-0.739,0.576,-1.868,0.391
Policy,Land use (Production-Irrigated),NMod,South Coast,0.029,0.462,-0.878,0.935
Policy,Land use (Production-Irrigated),NMod,South Coast,-0.51,0.53,-1.549,0.529
Policy,Land use (Production-Irrigated),PMod,Central & Southern Tablelands,0.73,0.255,0.23,1.231
Policy,Land use (Production-Irrigated),PMod,Central & Southern Tablelands,2.967,0.431,2.121,3.813
Policy,Land use (Production-Irrigated),PMod,Central & Southern Tablelands,-0.287,0.353,-0.979,0.405
Policy,Land use (Production-Irrigated),PMod,Central Coast,-0.703,0.361,-1.411,0.005
Policy,Land use (Production-Irrigated),PMod,Central Coast,-0.95,0.16,-1.265,-0.636
Policy,Land use (Production-Irrigated),PMod,Darling Riverine Plains,0.897,0.228,0.45,1.344
Policy,Land use (Production-Irrigated),PMod,Far West,1.817,0.195,1.435,2.199
Policy,Land use (Production-Irrigated),PMod,Far West,0.415,0.784,-1.122,1.951
Policy,Land use (Production-Irrigated),PMod,North Coast,0.259,0.325,-0.379,0.897
Policy,Land use (Production-Irrigated),PMod,North Coast,0.751,0.585,-0.396,1.898
Policy,Land use (Production-Irrigated),PMod,North Coast,0.142,0.387,-0.618,0.901
Policy,Land use (Production-Irrigated),PMod,Northern Tablelands,0.131,0.475,-0.8,1.061
Policy,Land use (Production-Irrigated),PMod,Northern Tablelands,-1.041,1.014,-3.029,0.946
Policy,Land use (Production-Irrigated),PMod,Northwest Slopes,-0.052,0.118,-0.284,0.18
Policy,Land use (Production-Irrigated),PMod,Northwest Slopes,-1.031,0.249,-1.519,-0.544
Policy,Land use (Production-Irrigated),PMod,Riverina,0.601,0.547,-0.472,1.674
Policy,Land use (Production-Irrigated),PMod,South Coast,-1.276,0.556,-2.367,-0.185
Policy,Land use (Production-Irrigated),PMod,South Coast,-1.92,0.533,-2.965,-0.875
Policy,Land use (Production-Natural Env),NMod,Central & Southern Tablelands,-0.071,0.092,-0.252,0.11
Policy,Land use (Production-Natural Env),NMod,Central & Southern Tablelands,0.011,0.188,-0.358,0.379
Policy,Land use (Production-Natural Env),NMod,Central & Southern Tablelands,-0.068,0.054,-0.174,0.038
Policy,Land use (Production-Natural Env),NMod,Central Coast,0.015,0.07,-0.121,0.151
Policy,Land use (Production-Natural Env),NMod,Central Coast,0.123,0.044,0.037,0.209
Policy,Land use (Production-Natural Env),NMod,Darling Riverine Plains,0.184,0.19,-0.189,0.557
Policy,Land use (Production-Natural Env),NMod,Far West,-0.066,0.156,-0.372,0.239
Policy,Land use (Production-Natural Env),NMod,Far West,-4.849,0.897,-6.611,-3.094
Policy,Land use (Production-Natural Env),NMod,North Coast,0.106,0.031,0.045,0.167
Policy,Land use (Production-Natural Env),NMod,North Coast,-0.081,0.049,-0.177,0.014
Policy,Land use (Production-Natural Env),NMod,North Coast,0.081,0.034,0.015,0.148
Policy,Land use (Production-Natural Env),NMod,Northern Tablelands,0.055,0.058,-0.059,0.168
Policy,Land use (Production-Natural Env),NMod,Northern Tablelands,-0.103,0.065,-0.231,0.025
Policy,Land use (Production-Natural Env),NMod,Northwest Slopes,0.012,0.06,-0.106,0.129
Policy,Land use (Production-Natural Env),NMod,Northwest Slopes,0.06,0.052,-0.043,0.163
Policy,Land use (Production-Natural Env),NMod,Riverina,-0.33,0.566,-1.44,0.78
Policy,Land use (Production-Natural Env),NMod,South Coast,0.099,0.097,-0.09,0.289
Policy,Land use (Production-Natural Env),NMod,South Coast,0.022,0.044,-0.064,0.108
Policy,Land use (Production-Natural Env),PMod,Central & Southern Tablelands,0.429,0.11,0.213,0.644
Policy,Land use (Production-Natural Env),PMod,Central & Southern Tablelands,0.339,0.19,-0.033,0.711
Policy,Land use (Production-Natural Env),PMod,Central & Southern Tablelands,0.256,0.06,0.139,0.373
Policy,Land use (Production-Natural Env),PMod,Central Coast,0.351,0.084,0.186,0.516
Policy,Land use (Production-Natural Env),PMod,Central Coast,0.081,0.047,-0.011,0.172
Policy,Land use (Production-Natural Env),PMod,Darling Riverine Plains,-0.1,0.194,-0.48,0.281
Policy,Land use (Production-Natural Env),PMod,Far West,1.039,0.173,0.7,1.378
Policy,Land use (Production-Natural Env),PMod,Far West,0.507,0.765,-0.993,2.008
Policy,Land use (Production-Natural Env),PMod,North Coast,0.289,0.037,0.216,0.362
Policy,Land use (Production-Natural Env),PMod,North Coast,-0.414,0.051,-0.515,-0.313
Policy,Land use (Production-Natural Env),PMod,North Coast,-0.157,0.035,-0.226,-0.088
Policy,Land use (Production-Natural Env),PMod,Northern Tablelands,0.463,0.076,0.313,0.613
Policy,Land use (Production-Natural Env),PMod,Northern Tablelands,-0.004,0.078,-0.157,0.148
Policy,Land use (Production-Natural Env),PMod,Northwest Slopes,0.009,0.068,-0.125,0.142
Policy,Land use (Production-Natural Env),PMod,Northwest Slopes,-0.433,0.062,-0.554,-0.311
Policy,Land use (Production-Natural Env),PMod,Riverina,-0.502,0.543,-1.566,0.562
Policy,Land use (Production-Natural Env),PMod,South Coast,0.436,0.131,0.179,0.693
Policy,Land use (Production-Natural Env),PMod,South Coast,0.149,0.069,0.015,0.284
Policy,NVR regulated land,NMod,Central & Southern Tablelands,-0.011,0.06,-0.129,0.107
Policy,NVR regulated land,NMod,Central & Southern Tablelands,-0.001,0.087,-0.172,0.169
Policy,NVR regulated land,NMod,Central Coast,-0.007,0.069,-0.142,0.127
Policy,NVR regulated land,NMod,North Coast,0.06,0.038,-0.015,0.135
Policy,NVR regulated land,NMod,North Coast,0.149,0.063,0.026,0.272
Policy,NVR regulated land,NMod,Northern Tablelands,0.108,0.061,-0.012,0.227
Policy,NVR regulated land,NMod,Northern Tablelands,-0.064,0.11,-0.279,0.152
Policy,NVR regulated land,NMod,Northwest Slopes,0.022,0.074,-0.124,0.167
Policy,NVR regulated land,NMod,South Coast,-0.065,0.08,-0.223,0.092
Policy,NVR regulated land,NMod,South Coast,-0.138,0.164,-0.46,0.184
Policy,NVR regulated land,PMod,Central & Southern Tablelands,-0.545,0.066,-0.674,-0.416
Policy,NVR regulated land,PMod,Central & Southern Tablelands,-0.431,0.09,-0.607,-0.255
Policy,NVR regulated land,PMod,Central Coast,-0.231,0.085,-0.397,-0.064
Policy,NVR regulated land,PMod,North Coast,-0.42,0.044,-0.506,-0.333
Policy,NVR regulated land,PMod,North Coast,-0.675,0.066,-0.805,-0.545
Policy,NVR regulated land,PMod,Northern Tablelands,-0.817,0.074,-0.963,-0.672
Policy,NVR regulated land,PMod,Northern Tablelands,-1.048,0.119,-1.281,-0.815
Policy,NVR regulated land,PMod,Northwest Slopes,-0.609,0.074,-0.754,-0.464
Policy,NVR regulated land,PMod,South Coast,-0.752,0.096,-0.941,-0.563
Policy,NVR regulated land,PMod,South Coast,-0.875,0.18,-1.227,-0.522
Policy,Planning zone (Environment),NMod,Central & Southern Tablelands,-0.554,0.135,-0.818,-0.29
Policy,Planning zone (Environment),NMod,Central Coast,-0.675,0.072,-0.815,-0.534
Policy,Planning zone (Environment),NMod,Far West,-1.555,0.412,-2.365,-0.747
Policy,Planning zone (Environment),NMod,North Coast,-1.521,0.135,-1.785,-1.257
Policy,Planning zone (Environment),NMod,Northern Tablelands,-3.136,0.577,-4.275,-2.011
Policy,Planning zone (Environment),NMod,Northwest Slopes,-0.914,0.223,-1.352,-0.476
Policy,Planning zone (Environment),NMod,Riverina,-1.058,0.391,-1.824,-0.291
Policy,Planning zone (Environment),NMod,South Coast,-0.488,0.054,-0.594,-0.382
Policy,Planning zone (Environment),PMod,Central & Southern Tablelands,-0.584,0.124,-0.827,-0.341
Policy,Planning zone (Environment),PMod,Central Coast,-0.895,0.075,-1.043,-0.747
Policy,Planning zone (Environment),PMod,Far West,-1.984,0.459,-2.885,-1.085
Policy,Planning zone (Environment),PMod,North Coast,-1.299,0.137,-1.568,-1.031
Policy,Planning zone (Environment),PMod,Northern Tablelands,-1,0.433,-1.848,-0.151
Policy,Planning zone (Environment),PMod,Northwest Slopes,-0.657,0.276,-1.199,-0.115
Policy,Planning zone (Environment),PMod,Riverina,-0.177,0.348,-0.859,0.505
Policy,Planning zone (Environment),PMod,South Coast,-0.733,0.125,-0.978,-0.488
Policy,Planning zone (Others),NMod,Central & Southern Tablelands,-0.439,0.184,-0.8,-0.077
Policy,Planning zone (Others),NMod,Central Coast,-0.736,0.079,-0.891,-0.58
Policy,Planning zone (Others),NMod,Far West,-0.577,0.333,-1.233,0.075
Policy,Planning zone (Others),NMod,North Coast,-0.182,0.135,-0.446,0.083
Policy,Planning zone (Others),NMod,Northern Tablelands,-3.165,1.004,-5.141,-1.2
Policy,Planning zone (Others),NMod,Northwest Slopes,-0.651,0.31,-1.258,-0.043
Policy,Planning zone (Others),NMod,Riverina,-3.718,0.784,-5.256,-2.181
Policy,Planning zone (Others),NMod,South Coast,0.252,0.112,0.033,0.471
Policy,Planning zone (Others),PMod,Central & Southern Tablelands,-0.715,0.164,-1.037,-0.393
Policy,Planning zone (Others),PMod,Central Coast,-0.569,0.084,-0.734,-0.405
Policy,Planning zone (Others),PMod,Far West,-0.35,0.388,-1.111,0.409
Policy,Planning zone (Others),PMod,North Coast,0.009,0.141,-0.267,0.285
Policy,Planning zone (Others),PMod,Northern Tablelands,-1.097,0.824,-2.714,0.519
Policy,Planning zone (Others),PMod,Northwest Slopes,-0.85,0.364,-1.563,-0.136
Policy,Planning zone (Others),PMod,Riverina,-0.851,0.634,-2.094,0.393
Policy,Planning zone (Others),PMod,South Coast,0.095,0.161,-0.22,0.41
Policy,Planning zone (Residential),NMod,Central & Southern Tablelands,0.591,0.134,0.328,0.854
Policy,Planning zone (Residential),NMod,Central Coast,0.748,0.069,0.613,0.884
Policy,Planning zone (Residential),NMod,Far West,-0.382,0.298,-0.968,0.201
Policy,Planning zone (Residential),NMod,North Coast,-0.421,0.123,-0.661,-0.18
Policy,Planning zone (Residential),NMod,Northern Tablelands,-2.179,0.543,-3.251,-1.122
